Country,New Cases Predict,R-squared score,Mean Squared Error,Root Mean Squared Error,Mean Absolute Error
Afghanistan,370.0,-379.27303840960315,145994.1878104209,382.0918578174899,337.88998979162915
Albania,396.0,-0.05501387121157464,27636.876285317085,166.24342478822157,141.59747205274402
Algeria,364.0,-10.541459229711684,67158.64394757539,259.14984844212313,220.8012068210119
American Samoa,0.0,-0.023332922073105777,0.43947487489191717,0.6629290119552147,0.12796493124361977
Andorra,21.0,-0.37297994552286595,38686.09764401766,196.68781773159634,120.37690236970437
Angola,163.0,0.15077328667999257,298496.8587593872,546.3486604352455,261.92945786788033
Anguilla,3.0,-0.2563687097352507,622.7678897126742,24.95531786438863,15.502975676800238
Antigua and Barbuda,14.0,-9.23693701257088,351.9184382623064,18.75948928575366,15.428772471983097
Argentina,12328.0,0.3268253018883349,96954322.62905876,9846.538611565933,8683.035112511992
Armenia,518.0,-0.34097693398552664,437975.327515042,661.7970440513028,523.4530389838707
Aruba,33.0,-0.022365605424882862,14515.834260185096,120.48167603492698,52.712415179164346
Australia,514.0,-0.6620515507331064,26271580.2085677,5125.580963029235,2654.797453912208
Austria,1507.0,-1.712813187142602,51598301.252885915,7183.195754877206,5830.193238455534
Azerbaijan,1096.0,-1.47859954417792,1092222.8538197922,1045.0946626118575,848.4986776328893
Bahamas,52.0,0.0065434981227805444,3178.1391688545955,56.374987085183406,42.248032380220266
Bahrain,638.0,-29.81088774941764,334542.88032630295,578.3968190838387,562.3714646009744
Bangladesh,3789.0,-2966.068128922498,22013344.264624264,4691.838047569871,3965.039409292941
Barbados,58.0,-2.3407452027087965,52813.251049478735,229.8113379480628,174.82257720711925
Belarus,1288.0,-1.5988735726886008,353001.5177792227,594.139308394271,524.8053827562436
Belgium,2421.0,-2.5112939115390684,129305710.120411,11371.26686523586,9652.760909407669
Belize,55.0,-1.2082019716822665,17958.34110368222,134.00873517678698,103.76921695853608
Benin,77.0,-20.023630560443866,5719.241111688436,75.6256643718813,74.48844466130957
Bermuda,18.0,-0.05268234299712482,1435.5175347393294,37.88822422256458,21.272139393925983
Bhutan,6.0,-44.26672968136651,71.28810425498729,8.44322830764319,6.610373208917605
Bolivia,1098.0,-0.25337641768020247,1241301.701858489,1114.1372006438387,720.1983684737847
Bonaire Sint Eustatius and Saba,7.0,-0.24137778067638194,332.38899260030587,18.231538404652138,13.652134750495406
Bosnia and Herzegovina,483.0,-0.38868442129167713,104871.14707918504,323.8381495117353,267.46603588667284
Botswana,607.0,-0.0008150890548455081,2140836.9603858595,1463.159923038442,943.3734321310992
Brazil,46430.0,-89.29919871664185,1547228495.4416308,39334.82547872344,38718.24367981754
British Virgin Islands,9.0,-0.018860587753577462,728.5803335799944,26.992227280830207,14.824713768295712
Brunei,47.0,-6.548378848053274,8565.914922610067,92.55222808020382,62.960156073243795
Bulgaria,1401.0,-0.5474100251119751,2859499.0891488916,1691.0053486458555,1263.6043329700178
Burkina Faso,15.0,-0.063778906813452,14623.06735551776,120.92587545896767,55.70025550871035
Burundi,68.0,-0.09205262365652822,111155.61845928464,333.40008767138113,179.56705982357917
Cambodia,432.0,-239.37105114765043,174197.24313879877,417.36943244420615,398.3247462919593
Cameroon,271.0,-0.6523222775832271,103924.43532767751,322.3731305919858,282.6881040696238
Canada,3448.0,-0.21052970175047658,82423914.56578223,9078.761730862983,4413.884406541629
Cape Verde,89.0,0.04585480845132606,15277.385610291762,123.60172171248976,84.50135962208844
Cayman Islands,5.0,-0.34669212252494375,49733.50005203727,223.01008957452413,117.16344432056546
Central African Republic,21.0,-1.9597920534707516,1073.2376207733762,32.76030556593415,26.298812403035985
Chad,6.0,-0.011942241534850906,5807.3964676637,76.20627577610455,16.04752717459416
Chile,3553.0,-13.536645552666796,5217560.250546355,2284.197944694451,1727.1463946130266
China,92.0,0.3996139663123257,1840.679346720496,42.90313912431695,30.260596804273245
Colombia,10701.0,-141.51132718594886,74142574.49025065,8610.608253210145,8413.366960907939
Comoros,6.0,-0.22903250137036313,5078.059744259154,71.26050620265866,32.80642417849224
Congo,35.0,-0.3180387167981358,27997.755752385132,167.32529920004666,121.85489794982612
Cook Islands,0.0,1.0,0.0,0.0,0.0
Costa Rica,1342.0,-104.48846544962176,1468738.952593329,1211.915406533529,1157.582177385455
Cote d'Ivoire,121.0,0.04601264035082353,96598.88436714758,310.8036106082868,164.7431581841709
Croatia,861.0,-2.48336708117561,13445203.485914985,3666.7701708608606,3196.6094305465144
Cuba,3391.0,-384.77931128160674,11877355.39607131,3446.353927859312,3159.247220352029
Curacao,46.0,-0.014835400647742025,16971.323954415457,130.27403407592573,63.42665412788197
Cyprus,341.0,-0.015183661225321332,408196.8451167681,638.9028448181837,329.62197099884577
Czechia,2901.0,-1.8290856658938064,110018446.73635042,10488.967858485907,9114.269131121022
Democratic Republic of Congo,128.0,-0.3093277239254191,235619.97520081192,485.40702013960606,333.872766688581
Denmark,698.0,-1.46085166712992,54482899.391643114,7381.253239907374,5776.232931003423
Djibouti,28.0,-33.4643895093995,682.0633279957483,26.116342163399306,25.120098480754216
Dominica,17.0,-0.318005061524403,7988.249094839425,89.37700540317641,62.87062037078447
Dominican Republic,617.0,-0.11419649802806431,146902.2963830244,383.2783536583098,342.1933881748515
Ecuador,979.0,-2.559315803220838,603367.0345619025,776.7670400846721,662.9946524686012
Egypt,603.0,-53.28542344950947,87942.06503165713,296.55027403740013,292.63111751636313
El Salvador,218.0,-0.09298029231794813,238737.21848172828,488.607427779939,291.8284753357721
